Month Year,Unemployment Rate US
Jan-20,3.5
Feb-20,3.5
Mar-20,4.4
Apr-20,14.8
May-20,13.3
Jun-20,11.1
Jul-20,10.2
Aug-20,8.4
Sep-20,7.8
Oct-20,6.9
Nov-20,6.7
Dec-20,6.7
Jan-21,6.3
Feb-21,6.2
Mar-21,6.0
Apr-21,6.1
May-21,5.8
Jun-21,5.9
